name,organization,googlescholar
Dr. I. Manimehan,"Asst. Prof of Physics, M. R. Govt. Arts College, Mannargudi, India - 614001",https://scholar.google.com/citations?user=Ct8qWFQAAAAJ&hl
Dr. K. Thamilmaran,"Sr scientist, center for Nonlinear systems, C.I.T , Chennai. Professor, Bharathidasan University. Trichy.",https://scholar.google.com/citations?user=anu3xtgAAAAJ
